Asal Wisatawan,2021,2022,2023
Brunei Darussalam,144,4798,13518
Malaysia,480723,1212574,1901242
Filipina,9375,78436,209458
Singapura,18704,736797,1414447
Thailand,3992,61128,111786
Vietnam,2008,68067,121879
Myanmar,3093,22637,40920
Hong Kong,2432,7086,13885
India,6670,281814,606439
Jepang,5952,73913,251866
Korea Selatan,9497,122221,347185
Pakistan,974,5247,14264
Bangladesh,1001,9593,9373
Sri Lanka,620,3447,7393
Taiwan,1398,25750,155150
Tionghoa,54713,169378,787924
Timor Leste,819488,703780,728586
Saudi Arabia,2053,47472,107684
Bahrain,35,894,1825
Kuwait,75,2216,4692
Mesir,611,7326,16832
Uni Emirat Arab,384,5456,8537
Yaman,758,3208,5936
Qatar,43,840,1961
Austria,2103,17708,34984
Belgia,798,21120,42888
Denmark,557,20913,39555
Perancis,3776,134541,273682
Jerman,3429,128634,263534
Italia,2339,47415,104393
Belanda,12229,115052,250201
Spanyol,3255,51563,106581
Portugal,476,14393,32029
Swedia,3516,19885,37481
Swiss,782,23192,48459
Inggris,5177,170881,335209
Finlandia,240,5480,12345
Norwegia,336,10069,19577
Rusia,8392,75578,161323
Amerika Serikat,21962,188764,392310
Kanada,1242,36042,83696
Amerika Tengah,87,717,1896
Amerika Selatan,1450,27434,71773
Australia,3196,655370,1431177
Selandia Baru,482,44125,116603
Papua Nugini,31703,22509,76471
Afrika Selatan,572,13267,31872
